age,gender,country,self_employed,family_history,treatment,work_interfere,remote_work,tech_company,benefits,care_options,wellness_program,seek_help,anonymity,leave,mental_health_concequence,phys_health_consequence,coworkers,supervisor,mental_health_interview,phys_health_interview,mental_vs_physical,obs_consequence
23,male,United States of America,0,I don't know,1,Rarely,Sometimes,1,I don't know,I am not sure,Yes,I don't know,Yes,Very easy,No,No,Yes,Yes,Maybe,Yes,Yes,No
28,male,Finland,0,Yes,0,Never,Never,1,I don't know,No,No,No,Yes,Somewhat easy,No,No,Yes,Yes,Maybe,Yes,Yes,No
43,female,United States of America,0,Yes,0,Not applicable to me,Sometimes,1,No,N/A,No,No,I don't know,Very difficult,No,Maybe,Maybe,Yes,No,No,I don't know,No
29,male,Romania,0,No,0,Not applicable to me,Never,1,No,N/A,No,No,I don't know,Very easy,Maybe,Maybe,No,No,No,No,I don't know,Yes
37,male,United Kingdom,0,Yes,1,Sometimes,Always,1,Not eligible for coverage / N/A,N/A,Yes,Yes,Yes,Very easy,No,No,Yes,Yes,Maybe,Yes,Yes,No
22,male,United States of America,0,Yes,0,Often,Never,0,No,No,No,No,No,Very difficult,Yes,Yes,No,No,No,No,I don't know,No
37,female,United States of America,0,Yes,1,Rarely,Sometimes,0,No,I am not sure,No,I don't know,No,Very difficult,Yes,Maybe,No,No,No,No,No,No
35,female,United States of America,0,I don't know,1,Not applicable to me,Always,1,I don't know,I am not sure,I don't know,No,I don't know,Somewhat easy,Maybe,No,Yes,Yes,Maybe,Yes,Yes,No
39,female,United States of America,0,Yes,1,Sometimes,Sometimes,1,I don't know,No,No,I don't know,I don't know,Somewhat difficult,No,No,Maybe,Yes,No,Maybe,I don't know,No
22,male,United Kingdom,0,I don't know,0,Sometimes,Never,1,No,No,No,No,No,Somewhat difficult,Maybe,Maybe,No,No,No,Maybe,I don't know,No
28,male,United Kingdom,0,No,0,Not applicable to me,Never,0,No,No,No,No,No,Very easy,No,No,Yes,Yes,Maybe,Maybe,Yes,No
25,female,United States of America,0,Yes,1,Sometimes,Sometimes,1,Not eligible for coverage / N/A,Yes,No,No,No,I don't know,Yes,Yes,No,No,No,Maybe,I don't know,No
23,male,United States of America,0,Yes,1,Rarely,Sometimes,1,Yes,No,No,No,I don't know,Somewhat difficult,Yes,No,Maybe,No,No,Maybe,No,No
24,male,United States of America,0,No,0,Sometimes,Sometimes,1,Not eligible for coverage / N/A,I am not sure,Yes,Yes,Yes,Neither easy nor difficult,No,No,Maybe,Maybe,Maybe,Yes,No,No
29,male,United States of America,0,Yes,1,Rarely,Never,1,No,Yes,Yes,Yes,Yes,Somewhat easy,No,No,Maybe,Yes,No,Maybe,Yes,No
38,male,United Kingdom,0,No,1,Not applicable to me,Always,1,No,N/A,No,No,I don't know,Neither easy nor difficult,Maybe,No,Maybe,Maybe,Yes,Yes,I don't know,No
43,female,United States of America,0,Yes,1,Sometimes,Sometimes,0,Yes,Yes,No,No,No,Neither easy nor difficult,Yes,Maybe,Maybe,No,No,Maybe,No,No
26,male,United States of America,0,Yes,0,Not applicable to me,Sometimes,1,No,N/A,No,No,I don't know,Very easy,No,No,Maybe,Yes,No,Maybe,I don't know,No
32,other,United Kingdom,0,Yes,1,Sometimes,Never,1,Not eligible for coverage / N/A,N/A,No,No,Yes,Somewhat easy,No,No,Yes,Yes,No,No,Yes,No
33,male,United States of America,0,Yes,1,Sometimes,Sometimes,1,Yes,Yes,I don't know,Yes,I don't know,Somewhat easy,Maybe,Maybe,Maybe,Maybe,No,No,No,No
45,male,United States of America,0,I don't know,0,Not applicable to me,Sometimes,1,I don't know,No,No,I don't know,I don't know,I don't know,Maybe,No,No,Maybe,Maybe,Maybe,I don't know,No
37,female,United States of America,0,No,1,Often,Always,1,Yes,Yes,No,No,Yes,Very easy,No,No,Yes,Maybe,No,No,I don't know,No
27,male,United States of America,0,Yes,0,Not applicable to me,Sometimes,1,Yes,Yes,No,No,Yes,Very easy,Maybe,Maybe,Yes,Yes,Yes,Yes,I don't know,No
40,female,United States of America,0,I don't know,0,Not applicable to me,Sometimes,0,Yes,I am not sure,No,No,I don't know,Somewhat difficult,No,No,No,Maybe,No,Maybe,I don't know,No
35,female,United States of America,0,Yes,1,Rarely,Never,0,No,Yes,No,No,I don't know,Somewhat difficult,Maybe,No,Maybe,Maybe,No,Yes,No,Yes
46,male,United States of America,0,Yes,0,Not applicable to me,Sometimes,0,I don't know,No,No,No,I don't know,Very difficult,Yes,Maybe,No,No,No,No,No,No
38,female,Netherlands,0,No,0,Not applicable to me,Never,1,I don't know,I am not sure,No,No,No,Somewhat easy,No,No,Yes,Maybe,Maybe,Maybe,Yes,No
45,male,United States of America,0,No,0,Not applicable to me,Never,1,Yes,No,No,I don't know,I don't know,Neither easy nor difficult,Maybe,No,No,Maybe,Yes,Maybe,No,No
26,male,United Kingdom,0,No,0,Rarely,Sometimes,1,No,N/A,Yes,I don't know,I don't know,Neither easy nor difficult,No,No,Maybe,Yes,Maybe,Yes,Yes,No
17,male,Brazil,0,No,0,Never,Always,1,No,N/A,No,No,I don't know,Somewhat difficult,Yes,No,No,Yes,Yes,Yes,No,Yes
29,female,United States of America,0,No,1,Sometimes,Sometimes,0,I don't know,I am not sure,No,No,I don't know,Neither easy nor difficult,No,No,Maybe,Yes,Maybe,Maybe,I don't know,No
30,male,United States of America,0,Yes,0,Not applicable to me,Sometimes,1,I don't know,I am not sure,No,No,I don't know,Neither easy nor difficult,No,No,Yes,Yes,Yes,Yes,I don't know,No
30,male,United States of America,0,No,1,Rarely,Sometimes,1,Yes,Yes,No,No,Yes,Very easy,No,No,No,Yes,No,No,Yes,No
43,male,United States of America,0,Yes,1,Rarely,Sometimes,1,Yes,No,No,No,No,Neither easy nor difficult,Maybe,No,No,No,No,No,I don't know,No
45,male,United States of America,0,I don't know,1,Rarely,Sometimes,1,Yes,No,No,I don't know,I don't know,Somewhat difficult,Yes,Maybe,Maybe,No,No,Maybe,No,No
44,male,United States of America,0,No,1,Never,Sometimes,1,Yes,Yes,No,I don't know,No,Somewhat easy,No,No,Yes,Yes,No,Maybe,Yes,No
35,other,Canada,0,Yes,0,Sometimes,Sometimes,1,I don't know,No,No,I don't know,I don't know,Somewhat difficult,No,No,Yes,Yes,Maybe,Maybe,Yes,No
27,male,United States of America,0,Yes,1,Sometimes,Sometimes,1,Yes,Yes,No,Yes,Yes,Very easy,No,No,Maybe,Yes,No,Yes,Yes,No
37,male,United States of America,0,I don't know,1,Not applicable to me,Always,1,No,I am not sure,No,No,I don't know,Neither easy nor difficult,Maybe,Maybe,Maybe,Maybe,No,Maybe,I don't know,No
26,male,United States of America,0,Yes,1,Sometimes,Never,1,No,N/A,No,No,No,Neither easy nor difficult,Maybe,Maybe,Yes,Yes,No,No,No,No
31,male,United Kingdom,0,No,0,Not applicable to me,Sometimes,1,No,N/A,Yes,No,Yes,Somewhat easy,No,No,Yes,Yes,Yes,Yes,Yes,No
37,male,United Kingdom,0,I don't know,0,Not applicable to me,Sometimes,1,No,N/A,No,Yes,I don't know,Very easy,No,No,Yes,Yes,Maybe,Maybe,Yes,No
24,male,United Kingdom,0,No,0,Not applicable to me,Sometimes,1,Not eligible for coverage / N/A,N/A,No,No,No,Somewhat easy,No,No,Maybe,Maybe,Maybe,Maybe,Yes,No
44,male,United States of America,0,Yes,1,Rarely,Always,1,No,No,No,No,I don't know,Somewhat difficult,Yes,No,No,No,Maybe,Yes,I don't know,No
29,male,United States of America,0,No,0,Not applicable to me,Always,1,I don't know,No,No,No,I don't know,Neither easy nor difficult,Maybe,Maybe,No,No,Maybe,Maybe,Yes,No
26,female,Spain,0,Yes,1,Rarely,Sometimes,1,Not eligible for coverage / N/A,N/A,Yes,No,Yes,Somewhat easy,Maybe,Maybe,Yes,Yes,No,No,I don't know,No
28,male,United States of America,0,No,1,Rarely,Sometimes,1,I don't know,No,No,I don't know,I don't know,Somewhat easy,Maybe,No,Yes,Maybe,Maybe,Maybe,No,No
37,female,United States of America,0,I don't know,1,Sometimes,Sometimes,1,I don't know,I am not sure,No,I don't know,I don't know,Neither easy nor difficult,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,I don't know,No
31,other,United States of America,0,Yes,1,Sometimes,Always,1,No,N/A,No,No,I don't know,Somewhat easy,No,No,Maybe,Yes,No,No,Yes,No
26,male,Germany,0,Yes,1,Never,Always,1,I don't know,Yes,No,No,I don't know,Somewhat easy,No,No,No,Maybe,Maybe,No,Yes,Yes
20,female,United States of America,0,Yes,1,Rarely,Never,1,Yes,Yes,No,No,I don't know,Very difficult,Yes,Maybe,No,No,No,No,No,No
54,male,United States of America,0,Yes,1,Rarely,Sometimes,1,No,No,No,No,No,Somewhat difficult,Yes,Maybe,No,No,No,No,No,No
29,male,Netherlands,0,No,0,Not applicable to me,Never,1,No,No,No,No,No,I don't know,Maybe,Maybe,No,No,Maybe,Maybe,No,Yes
28,other," roughly""",,0,I don't know,1,Jun-25,Never,1,Not eligible for coverage / N/A,N/A,No,No,No,Somewhat difficult,No,No,No,Yes,Maybe,Maybe,I don't know
32,female,United Kingdom,0,Yes,1,Rarely,Never,1,I don't know,No,No,Yes,I don't know,Neither easy nor difficult,Maybe,No,No,Maybe,No,No,Yes,No
35,male,United States of America,0,Yes,1,Never,Always,1,Not eligible for coverage / N/A,N/A,No,No,I don't know,Neither easy nor difficult,Maybe,Maybe,Maybe,Maybe,No,Maybe,Yes,No
31,male,United States of America,0,Yes,1,Rarely,Sometimes,1,I don't know,I am not sure,No,No,Yes,Very easy,No,No,Maybe,Yes,No,No,I don't know,No
32,female,Canada,0,No,1,Not applicable to me,Never,1,I don't know,I am not sure,No,I don't know,I don't know,Very difficult,Maybe,Maybe,Maybe,No,No,No,I don't know,Yes
43,female,Canada,0,Yes,1,Rarely,Sometimes,1,Yes,I am not sure,No,I don't know,I don't know,Somewhat difficult,Maybe,No,Yes,Yes,No,Maybe,Yes,No
26,female,Canada,0,Yes,0,Not applicable to me,Sometimes,1,Yes,Yes,No,No,I don't know,Neither easy nor difficult,No,No,Yes,Yes,Maybe,Maybe,Yes,No
55,female,Canada,0,No,0,Not applicable to me,Sometimes,1,Yes,Yes,Yes,Yes,Yes,Very easy,No,No,Maybe,Yes,Maybe,Maybe,Yes,No
27,male,Canada,0,No,1,Often,Never,1,Yes,No,Yes,No,I don't know,Neither easy nor difficult,No,No,Maybe,Maybe,No,No,Yes,No
29,male,United Kingdom,0,Yes,1,Sometimes,Always,1,Not eligible for coverage / N/A,N/A,Yes,No,I don't know,Somewhat easy,No,No,Yes,Yes,Maybe,Maybe,Yes,No
26,male,Ireland,0,No,0,Not applicable to me,Never,1,No,N/A,No,No,I don't know,Very easy,No,No,Yes,Yes,No,Yes,Yes,No
39,male,United States of America,0,I don't know,0,Not applicable to me,Never,1,I don't know,No,No,I don't know,I don't know,Neither easy nor difficult,Maybe,No,Maybe,Maybe,Maybe,Maybe,I don't know,No
28,male,United Kingdom,0,Yes,0,Not applicable to me,Sometimes,1,Not eligible for coverage / N/A,N/A,No,No,I don't know,I don't know,Maybe,No,Yes,Maybe,Maybe,Maybe,I don't know,No
34,male,United States of America,0,No,1,Rarely,Sometimes,1,Yes,I am not sure,No,No,Yes,Somewhat easy,Maybe,Maybe,Maybe,Maybe,No,No,Yes,No
42,male,Canada,0,No,0,Not applicable to me,Sometimes,1,I don't know,I am not sure,No,No,Yes,Neither easy nor difficult,No,No,Maybe,Yes,Yes,Yes,Yes,No
99,other,United States of America,0,Yes,1,Rarely,Sometimes,1,Yes,No,No,I don't know,Yes,Somewhat easy,No,No,Yes,Yes,Maybe,Yes,Yes,No
28,female,United Kingdom,0,I don't know,0,Not applicable to me,Sometimes,1,No,N/A,No,No,I don't know,Somewhat easy,No,No,No,Maybe,No,No,Yes,No
32,male,United States of America,0,No,1,Rarely,Sometimes,1,Yes,Yes,No,No,Yes,Very easy,Maybe,No,No,Yes,No,No,Yes,No
30,male,Netherlands,0,I don't know,1,Rarely,Never,0,Yes,I am not sure,No,Yes,No,Neither easy nor difficult,No,No,Yes,Yes,Maybe,Maybe,Yes,No
22,female,United States of America,0,No,0,Not applicable to me,Never,1,I don't know,I am not sure,Yes,Yes,Yes,Very easy,No,No,Maybe,Yes,Maybe,Yes,Yes,No
22,male,Vietnam,0,Yes,0,Often,Sometimes,1,No,No,No,No,I don't know,Very easy,Maybe,Maybe,No,Maybe,No,No,No,No
33,male,United States of America,0,Yes,1,Rarely,Always,1,Yes,Yes,No,Yes,I don't know,Somewhat difficult,No,No,Maybe,Yes,No,No,Yes,No
29,male,United States of America,0,No,0,Rarely,Always,1,Yes,I am not sure,No,I don't know,I don't know,Very easy,No,No,Yes,Yes,Maybe,Maybe,Yes,No
23,male,United States of America,0,Yes,1,Never,Sometimes,0,Yes,I am not sure,No,No,I don't know,Somewhat easy,No,No,Maybe,Yes,No,Maybe,I don't know,No
24,female,United States of America,0,Yes,1,Never,Never,1,No,No,No,No,I don't know,Somewhat difficult,Yes,No,No,No,No,Yes,I don't know,No
23,male,United States of America,0,Yes,0,Not applicable to me,Never,1,No,No,No,I don't know,I don't know,Neither easy nor difficult,No,No,Yes,Yes,Maybe,Maybe,I don't know,No
35,male,United States of America,0,No,0,Not applicable to me,Sometimes,1,Yes,I am not sure,No,No,I don't know,Somewhat easy,No,No,Maybe,Yes,Maybe,Maybe,I don't know,No
42,male,United States of America,0,Yes,1,Sometimes,Sometimes,1,I don't know,I am not sure,No,No,I don't know,Somewhat easy,Maybe,Maybe,No,No,No,No,I don't know,No
32,other,United States of America,0,Yes,0,Not applicable to me,Never,0,Yes,I am not sure,No,No,Yes,Somewhat difficult,Maybe,Maybe,No,Maybe,No,No,No,No
26,male,Finland,0,Yes,1,Sometimes,Sometimes,1,I don't know,I am not sure,No,No,I don't know,I don't know,No,No,Maybe,Maybe,Maybe,Maybe,I don't know,No
28,male,United States of America,0,No,0,Not applicable to me,Sometimes,1,I don't know,No,No,No,I don't know,I don't know,Yes,No,No,No,No,Yes,I don't know,No
61,female,United States of America,0,No,1,Rarely,Sometimes,1,I don't know,I am not sure,No,I don't know,No,Neither easy nor difficult,Maybe,Maybe,No,Maybe,Maybe,Maybe,I don't know,No
51,male,Germany,0,Yes,1,Sometimes,Sometimes,0,Not eligible for coverage / N/A,I am not sure,I don't know,I don't know,I don't know,I don't know,Yes,Maybe,Maybe,Maybe,Yes,Yes,No,Yes
43,male,United States of America,0,No,1,Sometimes,Always,1,No,N/A,No,No,I don't know,Somewhat difficult,Maybe,Maybe,Yes,Maybe,Maybe,Maybe,No,No
44,male,United States of America,0,Yes,1,Often,Always,1,No,I am not sure,Yes,No,I don't know,Somewhat difficult,Maybe,No,No,Maybe,No,No,I don't know,No
41,male,United States of America,0,I don't know,1,Sometimes,Sometimes,1,I don't know,I am not sure,No,No,I don't know,Neither easy nor difficult,Maybe,No,Maybe,Yes,No,Maybe,No,No
28,female,United States of America,0,Yes,1,Often,Always,1,Yes,Yes,No,No,I don't know,Somewhat difficult,No,No,Yes,Yes,Maybe,Yes,Yes,No
33,male,United States of America,0,Yes,1,Rarely,Sometimes,1,Yes,No,No,No,I don't know,Very difficult,No,No,Maybe,Maybe,No,Maybe,I don't know,No
36,female,United States of America,0,Yes,1,Not applicable to me,Never,1,Yes,Yes,No,No,I don't know,Neither easy nor difficult,No,No,No,Maybe,No,Yes,I don't know,No
29,male,Germany,0,Yes,1,Sometimes,Never,1,No,No,No,No,No,Somewhat difficult,Yes,Maybe,No,No,No,Maybe,I don't know,Yes
38,female,United States of America,0,Yes,1,Never,Never,0,I don't know,No,No,No,I don't know,Neither easy nor difficult,Maybe,Maybe,Maybe,Yes,No,No,I don't know,No
20,male,Canada,0,I don't know,0,Not applicable to me,Sometimes,1,I don't know,I am not sure,No,I don't know,Yes,Somewhat easy,Yes,No,No,No,No,Yes,I don't know,No
24,male,United States of America,0,Yes,1,Not applicable to me,Sometimes,0,No,N/A,No,No,I don't know,Somewhat easy,Maybe,Maybe,No,Yes,Maybe,Maybe,I don't know,No
35,female,Canada,0,No,1,Rarely,Sometimes,1,Yes,I am not sure,I don't know,I don't know,Yes,Very easy,No,No,Maybe,Maybe,Yes,Yes,Yes,No
36,male,United Kingdom,0,Yes,1,Not applicable to me,Never,1,No,No,No,No,I don't know,I don't know,Maybe,No,Maybe,No,No,Maybe,No,No
30,male,South Africa,0,No,0,Not applicable to me,Sometimes,1,No,N/A,No,No,Yes,Very easy,No,No,Yes,Yes,Yes,Yes,Yes,No
32,other,United States of America,0,Yes,1,Not applicable to me,Always,1,I don't know,I am not sure,No,I don't know,Yes,Somewhat easy,No,No,Maybe,Yes,Yes,Yes,Yes,No
33,male,Slovakia,0,No,0,Not applicable to me,Sometimes,1,No,No,No,No,I don't know,I don't know,No,No,Maybe,Maybe,No,Yes,I don't know,No
48,female,United Kingdom,0,No,1,Never,Never,1,No,I am not sure,No,No,I don't know,Very difficult,Yes,Maybe,No,Maybe,No,Maybe,No,No
31,male,United States of America,0,No,0,Not applicable to me,Sometimes,1,No,N/A,No,No,I don't know,Somewhat difficult,Maybe,No,No,No,No,No,No,No
45,male,United States of America,0,Yes,1,Rarely,Always,1,Yes,No,No,I don't know,I don't know,I don't know,Yes,No,No,No,No,Maybe,No,No
22,female,United States of America,0,Yes,1,Sometimes,Sometimes,0,Yes,I am not sure,No,I don't know,I don't know,Somewhat easy,No,No,No,Yes,Maybe,Maybe,Yes,No
26,male,Denmark,0,Yes,1,Not applicable to me,Never,1,Not eligible for coverage / N/A,Yes,No,No,No,Somewhat difficult,Yes,No,No,No,No,No,I don't know,No
24,male,United States of America,0,Yes,1,Sometimes,Never,1,I don't know,No,No,I don't know,Yes,Somewhat easy,No,No,Maybe,Maybe,Maybe,Yes,Yes,No
28,male,United States of America,0,Yes,1,Rarely,Sometimes,1,I don't know,I am not sure,No,I don't know,I don't know,Neither easy nor difficult,Maybe,Maybe,No,No,No,Maybe,I don't know,No
26,male,United States of America,0,Yes,1,Sometimes,Never,1,Yes,Yes,No,No,Yes,Very easy,Maybe,No,No,No,No,No,No,No
31,male,United States of America,0,Yes,1,Sometimes,Sometimes,1,Yes,Yes,Yes,Yes,Yes,Somewhat easy,No,No,Yes,Yes,Yes,Yes,Yes,No
29,other,United States of America,0,Yes,1,Often,Sometimes,1,Yes,I am not sure,Yes,Yes,Yes,Very easy,No,No,Yes,Yes,No,No,I don't know,No
27,male,Norway,0,No,0,Not applicable to me,Never,0,I don't know,I am not sure,No,No,I don't know,I don't know,Yes,Maybe,No,No,Maybe,Yes,No,No
29,male,United Kingdom,0,No,1,Rarely,Never,1,No,N/A,No,No,No,Somewhat difficult,Maybe,No,Maybe,Maybe,Maybe,Maybe,I don't know,No
29,male,United Kingdom,0,No,0,Not applicable to me,Never,1,Not eligible for coverage / N/A,N/A,No,No,I don't know,Somewhat easy,No,No,Maybe,Maybe,No,Yes,I don't know,No
26,female,United States of America,0,Yes,0,Not applicable to me,Always,1,Yes,I am not sure,No,No,I don't know,Somewhat difficult,Maybe,No,No,Maybe,No,Maybe,I don't know,No
26,male,Switzerland,0,Yes,1,Rarely,Sometimes,1,I don't know,I am not sure,Yes,Yes,I don't know,Very easy,No,No,Yes,Yes,Maybe,Maybe,Yes,No
22,male,United States of America,0,No,0,Not applicable to me,Sometimes,1,Yes,Yes,No,No,I don't know,Very easy,No,No,Maybe,Yes,Maybe,Yes,Yes,No
32,male,United States of America,0,No,1,Sometimes,Sometimes,1,No,N/A,No,No,I don't know,Neither easy nor difficult,Maybe,Maybe,Maybe,Maybe,No,No,I don't know,No
27,male,France,0,No,1,Not applicable to me,Never,1,I don't know,No,No,No,Yes,Somewhat difficult,Maybe,No,Maybe,No,Yes,Yes,I don't know,No
34,male,United Kingdom,0,I don't know,0,Sometimes,Always,1,Not eligible for coverage / N/A,N/A,No,No,I don't know,Somewhat easy,Maybe,Maybe,Maybe,Maybe,No,Yes,Yes,No
26,male,United States of America,0,Yes,1,Never,Sometimes,1,No,N/A,No,No,Yes,Somewhat difficult,Maybe,Maybe,Yes,Maybe,No,No,I don't know,No
