age,gender,country,self_employed,family_history,treatment,work_interfere,remote_work,tech_company,benefits,care_options,wellness_program,seek_help,anonymity,leave,mental_health_consequence,phys_health_consequence,coworkers,supervisor,mental_health_interview,phys_health_interview,mental_vs_physical,obs_consequence
23,male,Canada,Yes,Yes,No,NA,No,Yes,Yes,No,Don't know,Don't know,Don't know,Don't know,Maybe,No,Some of them,Some of them,No,Maybe,Don't know,No
23,male,Canada,No,No,Yes,NA,No,Yes,Yes,No,Don't know,Don't know,Don't know,Don't know,Maybe,No,Some of them,Some of them,No,Maybe,Don't know,No
23,female,Canada,No,No,Yes,NA,No,Yes,Yes,No,Don't know,Don't know,Don't know,Don't know,Maybe,No,Some of them,Some of them,No,Maybe,Don't know,No
23,female,Canada,No,Yes,Yes,NA,No,Yes,Yes,No,Don't know,Don't know,Don't know,Don't know,Maybe,No,Some of them,Some of them,No,Maybe,Don't know,No
23,male,Canada,No,No,No,NA,No,No,Don't know,Not sure,No,No,Yes,Very difficult,Yes,No,Some of them,Yes,No,Maybe,Yes,No
23,male,Canada,No,Yes,Yes,NA,No,No,Don't know,Not sure,No,No,Yes,Very difficult,Yes,No,Some of them,Yes,No,Maybe,Yes,No
23,male,Canada,No,No,No,NA,Yes,Yes,Yes,Yes,Yes,Yes,Don't know,Don't know,Maybe,No,Some of them,No,No,Maybe,Don't know,Yes
23,female,Canada,No,No,No,NA,Yes,Yes,Yes,Yes,Yes,Yes,Don't know,Don't know,Maybe,No,Some of them,No,No,Maybe,Don't know,Yes
23,male,Canada,No,No,No,NA,Yes,Yes,Yes,Yes,Yes,Yes,Don't know,Don't know,Maybe,No,Some of them,No,No,Maybe,Don't know,Yes
23,male,Canada,No,No,No,NA,Yes,Yes,Yes,Yes,Yes,Yes,Don't know,Don't know,Maybe,No,Some of them,No,No,Maybe,Don't know,Yes
23,other,Canada,No,No,No,NA,Yes,Yes,Yes,Yes,Yes,Yes,Don't know,Don't know,Maybe,No,Some of them,No,No,Maybe,Don't know,Yes
24,male,France,No,Yes,No,NA,No,Yes,Yes,No,Don't know,Don't know,Don't know,Don't know,Maybe,No,Some of them,No,No,Maybe,Don't know,No
24,male,Croatia,No,No,Yes,NA,No,Yes,Yes,No,Don't know,Don't know,Don't know,Don't know,Maybe,No,Some of them,Some of them,No,Maybe,Don't know,No
24,male,Georgia,No,No,Yes,NA,No,Yes,Yes,No,Don't know,Don't know,Don't know,Don't know,Maybe,No,Some of them,Some of them,No,Maybe,Don't know,No
24,male,France,No,Yes,Yes,NA,No,Yes,Yes,No,Don't know,Don't know,Don't know,Don't know,Maybe,No,Some of them,Some of them,No,Maybe,Don't know,No
24,male,Canada,No,No,No,NA,Yes,Yes,Yes,Yes,Yes,Yes,Don't know,Don't know,Maybe,No,Some of them,No,No,Maybe,Don't know,Yes
24,male,Canada,No,No,No,NA,Yes,Yes,Yes,Yes,Yes,Yes,Don't know,Don't know,Maybe,No,Some of them,No,No,Maybe,Don't know,Yes
24,male,Croatia,No,No,No,NA,Yes,Yes,Yes,Yes,Yes,Yes,Don't know,Don't know,Maybe,No,Some of them,No,No,Maybe,Don't know,Yes
24,male,Czech Republic,No,No,No,NA,Yes,Yes,Yes,Yes,Yes,Yes,Don't know,Don't know,Maybe,No,Some of them,No,No,Maybe,Don't know,Yes
24,male,Denmark,No,No,No,NA,Yes,Yes,Yes,Yes,Yes,Yes,Don't know,Don't know,Maybe,No,Some of them,No,No,Maybe,Don't know,Yes
24,male,Denmark,No,No,No,NA,Yes,Yes,Yes,Yes,Yes,Yes,Don't know,Don't know,Maybe,No,Some of them,No,No,Maybe,Don't know,Yes
24,male,France,No,No,No,NA,Yes,Yes,Yes,Yes,Yes,Yes,Don't know,Don't know,Maybe,No,Some of them,No,No,Maybe,Don't know,Yes
24,male,Germany,No,No,No,NA,Yes,Yes,Yes,Yes,Yes,Yes,Don't know,Don't know,Maybe,No,Some of them,No,No,Maybe,Don't know,Yes
25,male,Germany,No,Yes,No,NA,No,Yes,Yes,No,Don't know,Don't know,Don't know,Don't know,Maybe,No,Some of them,No,No,Maybe,Don't know,No
25,female,Germany,No,No,Yes,NA,No,Yes,Yes,No,Don't know,Don't know,Don't know,Don't know,Maybe,No,Some of them,Some of them,No,Maybe,Don't know,No
25,male,Germany,No,Yes,Yes,NA,No,Yes,Yes,No,Don't know,Don't know,Don't know,Don't know,Maybe,No,Some of them,Some of them,No,Maybe,Don't know,No
25,male,Greece,No,Yes,Yes,NA,No,Yes,Yes,No,Don't know,Don't know,Don't know,Don't know,Maybe,No,Some of them,Some of them,No,Maybe,Don't know,No
25,female,Ireland,No,Yes,Yes,NA,No,Yes,Yes,No,Don't know,Don't know,Don't know,Don't know,Maybe,No,Some of them,Some of them,No,Maybe,Don't know,No
25,male,Germany,No,Yes,Yes,NA,No,No,Don't know,Not sure,No,No,Yes,Very difficult,Yes,No,Some of them,Yes,No,Maybe,Yes,No
25,male,Germany,No,No,No,NA,Yes,Yes,Yes,Yes,Yes,Yes,Don't know,Don't know,Maybe,No,Some of them,No,No,Maybe,Don't know,Yes
25,male,Germany,No,No,No,NA,Yes,Yes,Yes,Yes,Yes,Yes,Don't know,Don't know,Maybe,No,Some of them,No,No,Maybe,Don't know,Yes
25,male,Greece,No,No,No,NA,Yes,Yes,Yes,Yes,Yes,Yes,Don't know,Don't know,Maybe,No,Some of them,No,No,Maybe,Don't know,Yes
25,male,Ireland,No,No,No,NA,Yes,Yes,Yes,Yes,Yes,Yes,Don't know,Don't know,Maybe,No,Some of them,No,No,Maybe,Don't know,Yes
26,male,Ireland,Yes,No,No,NA,No,Yes,Yes,No,Don't know,Don't know,Don't know,Don't know,Maybe,No,Some of them,No,No,Maybe,Don't know,No
26,male,Israel,No,Yes,No,NA,No,Yes,Yes,No,Don't know,Don't know,Don't know,Don't know,Maybe,No,Some of them,No,No,Maybe,Don't know,No
26,female,Netherlands,No,No,Yes,NA,No,Yes,Yes,No,Don't know,Don't know,Don't know,Don't know,Maybe,No,Some of them,Some of them,No,Maybe,Don't know,No
26,male,Nigeria,No,No,Yes,NA,No,Yes,Yes,No,Don't know,Don't know,Don't know,Don't know,Maybe,No,Some of them,Some of them,No,Maybe,Don't know,No
26,male,Ireland,Yes,No,Yes,NA,No,Yes,Yes,No,Don't know,Don't know,Don't know,Don't know,Maybe,No,Some of them,Some of them,No,Maybe,Don't know,No
26,male,Ireland,Yes,No,Yes,NA,No,Yes,Yes,No,Don't know,Don't know,Don't know,Don't know,Maybe,No,Some of them,Some of them,No,Maybe,Don't know,No
26,male,Netherlands,No,No,No,NA,No,No,Don't know,Not sure,No,No,Yes,Very difficult,Yes,No,Some of them,Yes,No,Maybe,Yes,No
26,male,Netherlands,No,No,No,NA,No,No,Don't know,Not sure,No,No,Yes,Very difficult,Yes,No,Some of them,Yes,No,Maybe,Yes,No
26,female,Israel,Yes,No,No,NA,No,No,Don't know,Not sure,No,No,Yes,Very difficult,Yes,No,Some of them,Yes,No,Maybe,Yes,No
26,female,Netherlands,No,Yes,Yes,NA,No,No,Don't know,Not sure,No,No,Yes,Very difficult,Yes,No,Some of them,Yes,No,Maybe,Yes,No
26,male,Israel,No,No,No,NA,Yes,Yes,Yes,Yes,Yes,Yes,Don't know,Don't know,Maybe,No,Some of them,No,No,Maybe,Don't know,Yes
26,male,Israel,No,No,No,NA,Yes,Yes,Yes,Yes,Yes,Yes,Don't know,Don't know,Maybe,No,Some of them,No,No,Maybe,Don't know,Yes
26,male,Netherlands,No,No,No,NA,Yes,Yes,Yes,Yes,Yes,Yes,Don't know,Don't know,Maybe,No,Some of them,No,No,Maybe,Don't know,Yes
26,male,Netherlands,No,No,No,NA,Yes,Yes,Yes,Yes,Yes,Yes,Don't know,Don't know,Maybe,No,Some of them,No,No,Maybe,Don't know,Yes
26,male,Norway,No,No,No,NA,Yes,Yes,Yes,Yes,Yes,Yes,Don't know,Don't know,Maybe,No,Some of them,No,No,Maybe,Don't know,Yes
27,male,Spain,No,Yes,No,NA,No,Yes,Yes,No,Don't know,Don't know,Don't know,Don't know,Maybe,No,Some of them,No,No,Maybe,Don't know,No
27,male,United Kingdom,No,Yes,No,NA,No,Yes,Yes,No,Don't know,Don't know,Don't know,Don't know,Maybe,No,Some of them,No,No,Maybe,Don't know,No
27,other,Singapore,Yes,Yes,No,NA,No,Yes,Yes,No,Don't know,Don't know,Don't know,Don't know,Maybe,No,Some of them,Some of them,No,Maybe,Don't know,No
27,male,South Africa,No,No,Yes,NA,No,Yes,Yes,No,Don't know,Don't know,Don't know,Don't know,Maybe,No,Some of them,Some of them,No,Maybe,Don't know,No
27,female,Sweden,No,No,Yes,NA,No,Yes,Yes,No,Don't know,Don't know,Don't know,Don't know,Maybe,No,Some of them,Some of them,No,Maybe,Don't know,No
27,male,United Kingdom,No,No,Yes,NA,No,Yes,Yes,No,Don't know,Don't know,Don't know,Don't know,Maybe,No,Some of them,Some of them,No,Maybe,Don't know,No
27,other,Singapore,Yes,No,Yes,NA,No,Yes,Yes,No,Don't know,Don't know,Don't know,Don't know,Maybe,No,Some of them,Some of them,No,Maybe,Don't know,No
27,male,Russia,No,Yes,Yes,NA,No,Yes,Yes,No,Don't know,Don't know,Don't know,Don't know,Maybe,No,Some of them,Some of them,No,Maybe,Don't know,No
27,male,United Kingdom,No,Yes,Yes,NA,No,Yes,Yes,No,Don't know,Don't know,Don't know,Don't know,Maybe,No,Some of them,Some of them,No,Maybe,Don't know,No
27,female,United Kingdom,No,Yes,Yes,NA,No,Yes,Yes,No,Don't know,Don't know,Don't know,Don't know,Maybe,No,Some of them,Some of them,No,Maybe,Don't know,No
27,male,United Kingdom,No,Yes,Yes,NA,No,Yes,Yes,No,Don't know,Don't know,Don't know,Don't know,Maybe,No,Some of them,Some of them,No,Maybe,Don't know,No
27,female,Singapore,Yes,Yes,Yes,NA,No,Yes,Yes,No,Don't know,Don't know,Don't know,Don't know,No,No,Some of them,Some of them,No,Maybe,Don't know,No
27,male,South Africa,No,No,No,NA,No,No,Don't know,Not sure,No,No,Yes,Very difficult,Yes,No,Some of them,Yes,No,Maybe,Yes,No
27,male,United Kingdom,No,No,No,NA,No,No,Don't know,Not sure,No,No,Yes,Very difficult,Yes,No,Some of them,Yes,No,Maybe,Yes,No
27,male,United Kingdom,No,No,Yes,NA,No,No,Don't know,Not sure,No,No,Yes,Very difficult,Yes,No,Some of them,Yes,No,Maybe,Yes,No
27,male,South Africa,No,No,No,NA,Yes,Yes,Yes,Yes,Yes,Yes,Don't know,Don't know,Maybe,No,Some of them,No,No,Maybe,Don't know,Yes
27,male,South Africa,No,No,No,NA,Yes,Yes,Yes,Yes,Yes,Yes,Don't know,Don't know,Maybe,No,Some of them,No,No,Maybe,Don't know,Yes
27,male,Sweden,No,No,No,NA,Yes,Yes,Yes,Yes,Yes,Yes,Don't know,Don't know,Maybe,No,Some of them,No,No,Maybe,Don't know,Yes
27,male,United Kingdom,No,No,No,NA,Yes,Yes,Yes,Yes,Yes,Yes,Don't know,Don't know,Maybe,No,Some of them,No,No,Maybe,Don't know,Yes
27,male,United Kingdom,No,No,No,NA,Yes,Yes,Yes,Yes,Yes,Yes,Don't know,Don't know,Maybe,No,Some of them,No,No,Maybe,Don't know,Yes
27,male,United Kingdom,No,No,No,NA,Yes,Yes,Yes,Yes,Yes,Yes,Don't know,Don't know,Maybe,No,Some of them,No,No,Maybe,Don't know,Yes
28,male,United Kingdom,No,Yes,No,NA,No,Yes,Yes,No,Don't know,Don't know,Don't know,Don't know,Maybe,No,Some of them,No,No,Maybe,Don't know,No
28,male,United Kingdom,No,No,Yes,NA,No,Yes,Yes,No,Don't know,Don't know,Don't know,Don't know,Maybe,No,Some of them,Some of them,No,Maybe,Don't know,No
28,male,United Kingdom,No,No,Yes,NA,No,Yes,Yes,No,Don't know,Don't know,Don't know,Don't know,Maybe,No,Some of them,Some of them,No,Maybe,Don't know,No
28,male,United Kingdom,No,Yes,Yes,NA,No,Yes,Yes,No,Don't know,Don't know,Don't know,Don't know,Maybe,No,Some of them,Some of them,No,Maybe,Don't know,No
28,male,United Kingdom,No,Yes,Yes,NA,No,Yes,Yes,No,Don't know,Don't know,Don't know,Don't know,Maybe,No,Some of them,Some of them,No,Maybe,Don't know,No
28,male,United Kingdom,No,Yes,Yes,NA,No,Yes,Yes,No,Don't know,Don't know,Don't know,Don't know,Maybe,No,Some of them,Some of them,No,Maybe,Don't know,No
28,male,United Kingdom,No,No,No,NA,No,No,Don't know,Not sure,No,No,Yes,Very difficult,Yes,No,Some of them,Yes,No,Maybe,Yes,No
28,female,United Kingdom,No,Yes,Yes,NA,No,No,Don't know,Not sure,No,No,Yes,Very difficult,Yes,No,Yes,Yes,No,Maybe,Yes,No
28,male,United Kingdom,No,No,No,NA,Yes,Yes,Yes,Yes,Yes,Yes,Don't know,Don't know,Maybe,No,Some of them,No,No,Maybe,Don't know,Yes
28,male,United Kingdom,No,No,No,NA,Yes,Yes,Yes,Yes,Yes,Yes,Don't know,Don't know,Maybe,No,Some of them,No,No,Maybe,Don't know,Yes
28,male,United Kingdom,No,No,No,NA,Yes,Yes,Yes,Yes,Yes,Yes,Don't know,Don't know,Maybe,No,Some of them,No,No,Maybe,Don't know,Yes
28,male,United Kingdom,No,No,No,NA,Yes,Yes,Yes,Yes,Yes,Yes,Don't know,Don't know,Maybe,No,Some of them,No,No,Maybe,Don't know,Yes
28,male,United Kingdom,No,No,No,NA,Yes,Yes,Yes,Yes,Yes,Yes,Don't know,Don't know,Maybe,No,Some of them,No,No,Maybe,Don't know,Yes
28,male,United Kingdom,No,No,No,NA,Yes,Yes,Yes,Yes,Yes,Yes,Don't know,Don't know,Maybe,No,Some of them,No,No,Maybe,Don't know,Yes
28,male,United Kingdom,No,No,No,NA,Yes,Yes,Yes,Yes,Yes,Yes,Don't know,Don't know,Maybe,No,Some of them,No,No,Maybe,Don't know,Yes
28,female,United Kingdom,No,No,No,NA,Yes,Yes,Yes,Yes,Yes,Yes,Don't know,Don't know,Maybe,No,Some of them,No,No,Maybe,Don't know,Yes
28,male,United Kingdom,No,No,No,NA,Yes,Yes,Yes,Yes,Yes,Yes,Don't know,Don't know,Maybe,No,Some of them,No,No,Maybe,Don't know,Yes
28,male,United Kingdom,No,No,No,NA,Yes,Yes,Yes,Yes,Yes,Yes,Don't know,Don't know,Maybe,No,Some of them,No,No,Maybe,Don't know,Yes
29,female,United Kingdom,No,No,Yes,NA,No,Yes,Yes,No,Don't know,Don't know,Don't know,Don't know,Maybe,No,Some of them,Some of them,No,Maybe,Don't know,No
29,female,United Kingdom,No,Yes,Yes,NA,No,Yes,Yes,No,Don't know,Don't know,Don't know,Don't know,Maybe,No,Some of them,Some of them,No,Maybe,Don't know,No
29,male,United Kingdom,No,Yes,Yes,NA,No,Yes,Yes,No,Don't know,Don't know,Don't know,Don't know,Maybe,No,Some of them,Some of them,No,Maybe,Don't know,No
29,male,United Kingdom,No,No,No,NA,No,No,Don't know,Not sure,No,No,Yes,Very difficult,Yes,No,Some of them,Yes,No,Maybe,Yes,No
29,female,United Kingdom,No,No,Yes,NA,No,No,Don't know,Not sure,No,No,Yes,Very difficult,Yes,No,Some of them,Yes,No,Maybe,Yes,No
29,female,United Kingdom,No,Yes,Yes,NA,No,No,Don't know,Not sure,No,No,Yes,Very difficult,Yes,No,Yes,Yes,No,Maybe,Yes,No
29,male,United Kingdom,No,No,No,NA,Yes,Yes,Yes,Yes,Yes,Yes,Don't know,Don't know,Maybe,No,Some of them,No,No,Maybe,Don't know,Yes
29,male,United Kingdom,No,No,No,NA,Yes,Yes,Yes,Yes,Yes,Yes,Don't know,Don't know,Maybe,No,Some of them,No,No,Maybe,Don't know,Yes
29,female,United Kingdom,No,No,No,NA,Yes,Yes,Yes,Yes,Yes,Yes,Don't know,Don't know,Maybe,No,Some of them,No,No,Maybe,Don't know,Yes
29,male,United Kingdom,No,No,No,NA,Yes,Yes,Yes,Yes,Yes,Yes,Don't know,Don't know,Maybe,No,Some of them,No,No,Maybe,Don't know,Yes
29,male,United Kingdom,No,No,No,NA,Yes,Yes,Yes,Yes,Yes,Yes,Don't know,Don't know,Maybe,No,Some of them,No,No,Maybe,Don't know,Yes
29,female,United Kingdom,No,No,No,NA,Yes,Yes,Yes,Yes,Yes,Yes,Don't know,Don't know,Maybe,No,Some of them,No,No,Maybe,Don't know,Yes
29,male,United Kingdom,No,No,No,NA,Yes,Yes,Yes,Yes,Yes,Yes,Don't know,Don't know,Maybe,No,Some of them,No,No,Maybe,Don't know,Yes
29,male,United Kingdom,No,No,No,NA,Yes,Yes,Yes,Yes,Yes,Yes,Don't know,Don't know,Maybe,No,Some of them,No,No,Maybe,Don't know,Yes
29,male,United Kingdom,No,No,No,NA,Yes,Yes,Yes,Yes,Yes,Yes,Don't know,Don't know,Maybe,No,Some of them,No,No,Maybe,Don't know,Yes
30,female,United States,No,Yes,No,NA,No,Yes,Yes,No,Don't know,Don't know,Don't know,Don't know,Maybe,No,Some of them,No,No,Maybe,Don't know,No
30,male,United States,No,No,Yes,NA,No,Yes,Yes,No,Don't know,Don't know,Don't know,Don't know,Maybe,No,Some of them,Some of them,No,Maybe,Don't know,No
30,male,United States,No,No,Yes,NA,No,Yes,Yes,No,Don't know,Don't know,Don't know,Don't know,Maybe,No,Some of them,Some of them,No,Maybe,Don't know,No
30,male,United States,No,No,Yes,NA,No,Yes,Yes,No,Don't know,Don't know,Don't know,Don't know,Maybe,No,Some of them,Some of them,No,Maybe,Don't know,No
30,male,United States,No,No,Yes,NA,No,Yes,Yes,No,Don't know,Don't know,Don't know,Don't know,Maybe,No,Some of them,Some of them,No,Maybe,Don't know,No
30,male,United States,No,No,Yes,NA,No,Yes,Yes,No,Don't know,Don't know,Don't know,Don't know,Maybe,No,Some of them,Some of them,No,Maybe,Don't know,No
30,male,United States,Yes,No,Yes,NA,No,Yes,Yes,No,Don't know,Don't know,Don't know,Don't know,Maybe,No,Some of them,Some of them,No,Maybe,Don't know,No
30,male,United States,No,Yes,Yes,NA,No,Yes,Yes,No,Don't know,Don't know,Don't know,Don't know,Maybe,No,Some of them,Some of them,No,Maybe,Don't know,No
30,male,United States,No,Yes,Yes,NA,No,Yes,Yes,No,Don't know,Don't know,Don't know,Don't know,Maybe,No,Some of them,Some of them,No,Maybe,Don't know,No
30,male,United States,No,No,No,NA,No,No,Don't know,Not sure,No,No,Yes,Very difficult,Yes,No,Some of them,Yes,No,Maybe,Yes,No
30,male,United States,No,No,No,NA,Yes,Yes,Yes,Yes,Yes,Yes,Don't know,Don't know,Maybe,No,Some of them,No,No,No,Don't know,Yes
31,male,United States,Yes,No,No,NA,No,Yes,Yes,No,Don't know,Don't know,Don't know,Don't know,Maybe,No,Some of them,No,No,No,Don't know,No
31,male,United States,Yes,No,No,NA,No,Yes,Yes,No,Don't know,Don't know,Don't know,Don't know,Maybe,No,Some of them,No,No,No,Don't know,No
31,male,United States,No,Yes,No,NA,No,Yes,Yes,No,Don't know,Don't know,Don't know,Don't know,Maybe,No,Some of them,No,No,No,Don't know,No
31,male,United States,Yes,Yes,No,NA,No,Yes,Yes,No,Don't know,Don't know,Don't know,Don't know,Maybe,No,Some of them,Some of them,No,No,Don't know,No
31,male,United States,Yes,Yes,No,NA,No,Yes,Yes,No,Don't know,Don't know,Don't know,Don't know,Maybe,No,Some of them,Some of them,No,No,Don't know,No
31,male,United States,Yes,Yes,No,NA,No,Yes,Yes,No,Don't know,Don't know,Don't know,Don't know,Maybe,No,Some of them,Some of them,No,No,Don't know,No
31,male,United States,No,No,Yes,NA,No,Yes,Yes,No,Don't know,Don't know,Don't know,Don't know,Maybe,No,Some of them,Some of them,No,No,Don't know,No
31,male,United States,Yes,No,Yes,NA,No,Yes,Yes,No,Don't know,Don't know,Don't know,Don't know,Maybe,No,Some of them,Some of them,No,No,Don't know,No
31,male,United States,No,Yes,Yes,NA,No,Yes,Yes,No,Don't know,Don't know,Don't know,Don't know,Maybe,No,Some of them,Some of them,No,No,Don't know,No
31,male,United States,No,Yes,Yes,NA,No,Yes,Yes,No,Don't know,Don't know,Don't know,Don't know,Maybe,No,Some of them,Some of them,No,No,Don't know,No
31,male,United States,No,Yes,Yes,NA,No,Yes,Yes,No,Don't know,Don't know,Don't know,Don't know,Maybe,No,Some of them,Some of them,No,No,Don't know,No
31,female,United States,No,No,No,NA,No,No,Don't know,Not sure,No,No,Yes,Very difficult,Yes,No,Some of them,Yes,No,No,Yes,No
31,male,United States,No,No,No,NA,Yes,Yes,Yes,Yes,Yes,Yes,Don't know,Don't know,Maybe,No,Some of them,No,No,No,Don't know,Yes
31,male,United States,No,No,No,NA,Yes,Yes,Yes,Yes,Yes,Yes,Don't know,Don't know,Maybe,No,Some of them,No,No,No,Don't know,Yes
31,male,United States,No,No,No,NA,Yes,Yes,Yes,Yes,Yes,Yes,Don't know,Don't know,Maybe,No,Some of them,No,No,No,Don't know,Yes
31,male,United States,No,No,No,NA,Yes,Yes,Yes,Yes,Yes,Yes,Don't know,Don't know,Maybe,No,Some of them,No,No,No,Don't know,Yes
31,male,United States,No,No,No,NA,Yes,Yes,Yes,Yes,Yes,Yes,Don't know,Don't know,Maybe,No,Some of them,No,No,No,Don't know,Yes
31,male,United States,No,No,No,NA,Yes,Yes,Yes,Yes,Yes,Yes,Don't know,Don't know,Maybe,No,Some of them,No,No,No,Don't know,Yes
32,male,United States,No,Yes,No,NA,No,Yes,Yes,No,Don't know,Don't know,Don't know,Don't know,Maybe,No,Some of them,No,No,No,Don't know,No
32,male,United States,No,Yes,No,NA,No,Yes,Yes,No,Don't know,Don't know,Don't know,Don't know,Maybe,No,Some of them,No,No,No,Don't know,No
32,male,United States,No,No,Yes,NA,No,Yes,Yes,No,Don't know,Don't know,Don't know,Don't know,Maybe,No,Some of them,Some of them,No,No,Don't know,No
32,female,United States,No,No,Yes,NA,No,Yes,Yes,No,Don't know,Don't know,Don't know,Don't know,Maybe,No,Some of them,Some of them,No,No,Don't know,No
32,male,United States,No,No,Yes,NA,No,Yes,Yes,No,Don't know,Don't know,Don't know,Don't know,Maybe,No,Some of them,Some of them,No,No,Don't know,No
32,male,United States,No,No,Yes,NA,No,Yes,Yes,No,Don't know,Don't know,Don't know,Don't know,Maybe,No,Some of them,Some of them,No,No,Don't know,No
32,male,United States,No,Yes,Yes,NA,No,Yes,Yes,No,Don't know,Don't know,Don't know,Don't know,No,No,Some of them,Some of them,No,No,Don't know,No
32,female,United States,No,Yes,Yes,NA,No,Yes,Yes,No,Don't know,Don't know,Don't know,Don't know,No,No,Some of them,Some of them,No,No,Don't know,No
32,male,United States,No,Yes,Yes,NA,No,Yes,Yes,No,Don't know,Don't know,Don't know,Don't know,No,No,Some of them,Some of them,No,No,Don't know,No
32,male,United States,No,Yes,Yes,NA,No,Yes,Yes,No,Don't know,Don't know,Don't know,Don't know,No,No,Some of them,Some of them,No,No,Don't know,No
32,female,United States,No,No,Yes,NA,No,No,Don't know,Not sure,No,No,Yes,Very difficult,Yes,No,Some of them,Yes,No,No,Yes,No
32,male,United States,No,No,No,NA,Yes,Yes,Yes,Yes,Yes,Yes,Don't know,Don't know,Maybe,No,Some of them,No,No,No,Don't know,Yes
32,male,United States,No,No,No,NA,Yes,Yes,Yes,Yes,Yes,Yes,Don't know,Don't know,Maybe,No,Some of them,No,No,No,Don't know,Yes
32,male,United States,No,No,No,NA,Yes,Yes,Yes,Yes,Yes,Yes,Don't know,Don't know,Maybe,No,Some of them,No,No,No,Don't know,Yes
32,male,United States,No,No,No,NA,Yes,Yes,Yes,Yes,Yes,Yes,Don't know,Don't know,Maybe,No,Some of them,No,No,No,Don't know,Yes
32,male,United States,No,No,No,NA,Yes,Yes,Yes,Yes,Yes,Yes,Don't know,Don't know,Maybe,No,Some of them,No,No,No,Don't know,Yes
32,male,United States,No,No,No,NA,Yes,Yes,Yes,Yes,Yes,Yes,Don't know,Don't know,Maybe,No,Some of them,No,No,No,Don't know,Yes
32,female,United States,No,No,No,NA,Yes,Yes,Yes,Yes,Yes,Yes,Don't know,Don't know,Maybe,No,Some of them,No,No,No,Don't know,Yes
32,male,United States,No,No,No,NA,Yes,Yes,Yes,Yes,Yes,Yes,Don't know,Don't know,Maybe,No,Some of them,No,No,No,Don't know,Yes
33,male,United States,No,Yes,No,NA,No,Yes,Yes,No,Don't know,Don't know,Don't know,Don't know,Maybe,No,Some of them,No,No,No,Don't know,No
33,male,United States,No,Yes,No,NA,No,Yes,Yes,No,Don't know,Don't know,Don't know,Don't know,Maybe,No,Some of them,Some of them,No,No,Don't know,No
33,other,United States,No,No,Yes,NA,No,Yes,Yes,No,Don't know,Don't know,Don't know,Don't know,Maybe,No,Some of them,Some of them,No,No,Don't know,No
33,male,United States,No,Yes,Yes,NA,No,Yes,Yes,No,Don't know,Don't know,Don't know,Don't know,No,No,Some of them,Some of them,No,No,Don't know,No
33,male,United States,No,Yes,Yes,NA,No,Yes,Yes,No,Don't know,Don't know,Don't know,Don't know,No,No,Some of them,Some of them,No,No,Don't know,No
